"Sample_ID","Plant_ID","Flower_ID","Treatment","Flower_Age","Buzz_number","Sex","Inflorescence","Date","Species","Accession","pollen_rem_a","pollen_rem_b","pollen_rem_c","pollen_rem_d","pollen_rem_est","newflowerid"
"c040","1180M-12","2DB","Free",2,1,"hermaphrodite",1,"25/05/2021","S. sisymbriifolium","1180M",34,33,27,17,555,"1180M-12.2DB.25/05/2021"
"c041","F1-sys-3-1","2DA","Free",2,1,"hermaphrodite",1,"25/05/2021","S. sisymbriifolium","F1-sys-3",9,9,4,6,140,"F1-sys-3-1.2DA.25/05/2021"
"c042","F1-sys-3-3","2DA","Free",2,1,"hermaphrodite",1,"25/05/2021","S. sisymbriifolium","F1-sys-3",12,15,11,7,225,"F1-sys-3-3.2DA.25/05/2021"
"c043","1180M-14","2DA","Joined",2,1,"staminate",1,"25/05/2021","S. sisymbriifolium","1180M",133,149,132,123,2685,"1180M-14.2DA.25/05/2021"
"c044","1180M-14","2DA","Free",2,2,"staminate",1,"25/05/2021","S. sisymbriifolium","1180M",103,127,126,111,2335,"1180M-14.2DA.25/05/2021"
"c045","1180M-12","2DA","Joined",2,2,"hermaphrodite",1,"25/05/2021","S. sisymbriifolium","1180M",1271,1434,1382,1403,27450,"1180M-12.2DA.25/05/2021"
"c046","1180M-12","2DB","Joined",2,2,"hermaphrodite",1,"25/05/2021","S. sisymbriifolium","1180M",310,299,326,316,6255,"1180M-12.2DB.25/05/2021"
"c047","F1-sys-3-2","2DA","Joined",2,1,"hermaphrodite",1,"25/05/2021","S. sisymbriifolium","F1-sys-3",95,79,81,86,1705,"F1-sys-3-2.2DA.25/05/2021"
"c048","F1-sys-3-2","2DA","Free",2,2,"hermaphrodite",1,"25/05/2021","S. sisymbriifolium","F1-sys-3",273,287,264,268,5460,"F1-sys-3-2.2DA.25/05/2021"
"c049","F1-sys-3-1","2DA","Joined",2,2,"hermaphrodite",1,"25/05/2021","S. sisymbriifolium","F1-sys-3",18,13,19,1152,6010,"F1-sys-3-1.2DA.25/05/2021"
"c051","1180M-12","1DA","Free",1,1,"hermaphrodite",2,"26/05/2021","S. sisymbriifolium","1180M",44,56,57,61,1090,"1180M-12.1DA.26/05/2021"
"c052","F1-sys-3-3","2DA","Joined",2,1,"hermaphrodite",1,"26/05/2021","S. sisymbriifolium","F1-sys-3",766,678,730,761,14675,"F1-sys-3-3.2DA.26/05/2021"
"c053","F1-sys-3-3","2DA","Free",2,2,"hermaphrodite",1,"26/05/2021","S. sisymbriifolium","F1-sys-3",23,27,23,22,475,"F1-sys-3-3.2DA.26/05/2021"
"c054","F1-sys-3-2","2DA","Joined",2,1,"hermaphrodite",2,"26/05/2021","S. sisymbriifolium","F1-sys-3",266,267,269,263,5325,"F1-sys-3-2.2DA.26/05/2021"
"c055","F1-sys-3-2","2DA","Free",2,2,"hermaphrodite",2,"26/05/2021","S. sisymbriifolium","F1-sys-3",14,13,15,17,295,"F1-sys-3-2.2DA.26/05/2021"
"c056","F1-sys-3-1","1DA","Joined",1,1,"hermaphrodite",1,"26/05/2021","S. sisymbriifolium","F1-sys-3",75,71,49,67,1310,"F1-sys-3-1.1DA.26/05/2021"
"c057","F1-sys-3-1","1DA","Free",1,2,"hermaphrodite",1,"26/05/2021","S. sisymbriifolium","F1-sys-3",8,11,6,5,150,"F1-sys-3-1.1DA.26/05/2021"
"c058","1180M-12","1DA","Joined",1,2,"hermaphrodite",2,"26/05/2021","S. sisymbriifolium","1180M",1629,1507,1582,1388,30530,"1180M-12.1DA.26/05/2021"
"c059","1180M-14","2DA","Joined",2,1,"staminate",1,"26/05/2021","S. sisymbriifolium","1180M",402,364,332,362,7300,"1180M-14.2DA.26/05/2021"
"c060","1180M-14","2DA","Free",2,2,"staminate",1,"26/05/2021","S. sisymbriifolium","1180M",479,525,489,494,9935,"1180M-14.2DA.26/05/2021"
"c061","1180M-14","2DA","Free",2,1,"staminate",1,"27/05/2021","S. sisymbriifolium","1180M",395,423,402,411,8155,"1180M-14.2DA.27/05/2021"
"c062","F1-sys-3-2","3DA","Free",3,1,"hermaphrodite",1,"27/05/2021","S. sisymbriifolium","F1-sys-3",206,234,205,234,4395,"F1-sys-3-2.3DA.27/05/2021"
"c063","F1-sys-3-3","3DA","Joined",3,1,"hermaphrodite",1,"27/05/2021","S. sisymbriifolium","F1-sys-3",579,591,584,610,11820,"F1-sys-3-3.3DA.27/05/2021"
"c064","F1-sys-3-3","3DA","Free",3,2,"hermaphrodite",1,"27/05/2021","S. sisymbriifolium","F1-sys-3",50,58,63,67,1190,"F1-sys-3-3.3DA.27/05/2021"
"c065","F1-sys-3-3","2DA","Joined",2,1,"staminate",1,"27/05/2021","S. sisymbriifolium","F1-sys-3",164,238,171,176,3745,"F1-sys-3-3.2DA.27/05/2021"
"c066","F1-sys-3-3","2DA","Free",2,2,"staminate",1,"27/05/2021","S. sisymbriifolium","F1-sys-3",178,147,177,146,3240,"F1-sys-3-3.2DA.27/05/2021"
"c067","F1-sys-3-1","2DA","Joined",2,1,"hermaphrodite",2,"27/05/2021","S. sisymbriifolium","F1-sys-3",32,41,32,40,725,"F1-sys-3-1.2DA.27/05/2021"
"c068","F1-sys-3-1","2DA","Free",2,2,"hermaphrodite",2,"27/05/2021","S. sisymbriifolium","F1-sys-3",16,15,21,10,310,"F1-sys-3-1.2DA.27/05/2021"
"c069","F1-sys-3-2","3DA","Joined",3,2,"hermaphrodite",1,"27/05/2021","S. sisymbriifolium","F1-sys-3",432,439,427,380,8390,"F1-sys-3-2.3DA.27/05/2021"
