"web","plant","tip_name","symmetry","PC1","PC2","PC3","PC4","n.poll","n.shared","mn.n.shared","md.n.shared","n.shared.a","n.shared.z","mn.n.shared.a","mn.n.shared.z","md.n.shared.a","md.n.shared.z","Latitude","lat.x","lat.sc","pc1.sc","pc2.sc","rel.mn.n.shared","rel.mn.n.shared.a","rel.mn.n.shared.z"
"M_PL_039","Ceballosia fruticosa","Ceballosia_fruticosa","Actinomorphic",-24.6412034230671,12.0161703095442,17.1189259170633,-1.39909718532478,3,2,0.9375,1,2,1,1,0.8,1,1,28.268611,5.31682339371922,0.117071903164679,-0.790095336229653,0.514443977384422,0.3125,0.333333333333333,0.266666666666667
"M_PL_039","Sideritis nervosa","Sideritis_nervosa","Zygomorphic",-30.9183370503916,15.0383329531973,26.4949819176737,-3.95135602259273,3,3,1.75,2,3,3,1.58333333333333,2.25,2,2,28.268611,5.31682339371922,0.117071903164679,-0.991365295277055,0.643830739610039,0.583333333333333,0.527777777777777,0.75
"M_PL_039","Fagonia albiflora","Fagonia_albiflora","Actinomorphic",11.7402543209146,-20.5925221947349,-0.509108455931387,1.51807438698264,2,2,1,1,2,2,0.727272727272727,1.6,1,2,28.268611,5.31682339371922,0.117071903164679,0.376439414335636,-0.881620245830074,0.5,0.363636363636363,0.8
"M_PL_041","Cordia martinicensis","Cordia_martinicensis","Actinomorphic",-24.7370625294354,12.0552131296865,17.2095991141321,-1.42322909389188,23,21,2.9,2,19,5,2.8695652173913,2.33333333333333,2,2,15.518889,3.93940211199618,-0.610758759059184,-0.79316896179803,0.516115503599921,0.126086956521739,0.12476370510397,0.101449275362319
"M_PL_041","Croton flavens","Croton_flavens","Actinomorphic",8.66011119157983,-31.5268951449193,-1.25460603948216,-2.24988549254881,3,3,0.4,0,3,1,0.391304347826087,0.333333333333333,0,0,15.518889,3.93940211199618,-0.610758759059184,0.27767773132753,-1.34974962197828,0.133333333333333,0.130434782608696,0.111111111111111
"M_PL_041","Vernonia sp1 M_PL_041","Vernonia","Actinomorphic",-33.0749533370931,17.915902629801,-25.1044093519551,-1.59735220646418,14,14,2.16666666666667,1,14,4,2.04347826086957,2,1,1.5,15.518889,3.93940211199618,-0.610758759059184,-1.06051502148583,0.767027095145796,0.154761904761905,0.145962732919255,0.142857142857143
"M_PL_041","Chamaecrista glandulosa","Chamaecrista_glandulosa","Zygomorphic",8.86583607595214,-36.3346591474062,-2.09307748966105,-20.3569853746067,7,7,1.5,1,6,5,1.45833333333333,1.4,1,1,15.518889,3.93940211199618,-0.610758759059184,0.284274092264058,-1.5555826929194,0.214285714285714,0.208333333333333,0.2
"M_PL_041","Wedelia calycina","Wedelia_calycina","Actinomorphic",-33.5839141408148,18.2045679176627,-25.8653533709684,-1.70439026096231,13,12,2,1,12,2,2.04347826086957,1.33333333333333,1,1,15.518889,3.93940211199618,-0.610758759059184,-1.07683433635207,0.779385618285439,0.153846153846154,0.157190635451505,0.102564102564102
"M_PL_041","Mimosa casta","Mimosa_casta","Zygomorphic",8.82211897352328,-36.5630897023285,-2.11590099645523,-20.6771817045669,4,4,1.06666666666667,1,4,3,1.04166666666667,0.8,1,0,15.518889,3.93940211199618,-0.610758759059184,0.282872347464931,-1.56536240810345,0.266666666666667,0.260416666666668,0.2
"M_PL_041","Lantana camara","Lantana_camara","Actinomorphic",-30.4675515258984,14.8262407557311,25.8585188856902,-3.77871015771245,5,5,0.933333333333333,1,5,2,0.956521739130435,0.833333333333333,1,1,15.518889,3.93940211199618,-0.610758759059184,-0.976911312067432,0.63475051264704,0.186666666666667,0.191304347826087,0.166666666666667
"M_PL_041","Gonzalagunia hirsuta","Gonzalagunia_hirsuta","Actinomorphic",-27.091968810092,13.07641449022,19.7718080450682,-2.05070409995153,6,5,1.36666666666667,1,5,2,1.43478260869565,1.16666666666667,1,1.5,15.518889,3.93940211199618,-0.610758759059184,-0.868676656680455,0.559835830134071,0.227777777777778,0.239130434782608,0.194444444444445
"M_PL_041","Guettarda scabra","Guettarda_scabra","Actinomorphic",-27.0942700672955,13.0773938097278,19.7742348076411,-2.0513244286242,3,2,0.566666666666667,0,2,1,0.608695652173913,0.5,0,0.5,15.518889,3.93940211199618,-0.610758759059184,-0.868750444171785,0.559877757387909,0.188888888888889,0.202898550724638,0.166666666666667
"M_PL_041","Ipomoea tiliacea","Ipomoea_tiliacea","Actinomorphic",-25.1012853254202,12.1966387912423,17.4684381168568,-1.47558471125761,4,4,0.933333333333333,1,4,1,1,0.666666666666667,1,1,15.518889,3.93940211199618,-0.610758759059184,-0.804847398419625,0.522170309578928,0.233333333333333,0.25,0.166666666666667
"M_PL_041","Calliandra tergemina","Calliandra_tergemina","Actinomorphic",8.82355825348664,-36.5555974570665,-2.11515356085719,-20.6667076777329,6,6,1.16666666666667,1,6,2,1.21739130434783,1,1,1,15.518889,3.93940211199618,-0.610758759059184,0.282918496525391,-1.56504164530192,0.194444444444445,0.202898550724638,0.166666666666667
