plant,matrix,symmetry,N.poll
Codonopsis lanceolata,M_PL_057,actinomorphic,2
Dipsacus japonicus,M_PL_057,actinomorphic,2
Patrinia villosa,M_PL_057,actinomorphic,2
Persicaria aestiva,M_PL_057,actinomorphic,1
Potentilla sundaica,M_PL_057,actinomorphic,2
Youngia denticulata,M_PL_057,actinomorphic,2
Aster ageratoides ovatus,M_PL_057,actinomorphic,1
Aster subulatus,M_PL_057,actinomorphic,1
Bistorta tenuicaulis,M_PL_057,actinomorphic,1
Clematis apiifolia,M_PL_057,actinomorphic,1
Eriobotrya japonica,M_PL_057,actinomorphic,1
Eupatorium chinense,M_PL_057,actinomorphic,1
Houttuynia cordata,M_PL_057,actinomorphic,1
Hypericum pseudopetiolatum,M_PL_057,actinomorphic,1
Kalimeris pinnatifida,M_PL_057,actinomorphic,1
Ligustrum obtusifolium,M_PL_057,actinomorphic,1
Persicaria pubescens,M_PL_057,actinomorphic,1
Senecio nikoensis,M_PL_057,actinomorphic,1
Valeriana flaccidissima,M_PL_057,actinomorphic,1
Leucosceptrum stellipilum,M_PL_057,zygomorphic,32
Corydalis incisa,M_PL_057,zygomorphic,53
Impatiens textori,M_PL_057,zygomorphic,2
Viola verecunda,M_PL_057,zygomorphic,27
Desmodium podocarpum,M_PL_057,zygomorphic,15
Corydalis pallida,M_PL_057,zygomorphic,13
Impatiens noli-tangere,M_PL_057,zygomorphic,3
Rabdosia trichocarpa,M_PL_057,zygomorphic,7
Callicarpa japonica,M_PL_057,zygomorphic,5
Wisteria floribunda,M_PL_057,zygomorphic,11
Glechoma hederacea,M_PL_057,zygomorphic,8
Trifolium repens,M_PL_057,zygomorphic,6
Rabdosia longituba,M_PL_057,zygomorphic,4
Vicia venosa,M_PL_057,zygomorphic,2
Meehania urticifolia,M_PL_057,zygomorphic,1
Amphicarpaea bracteata,M_PL_057,zygomorphic,1
Plantago asiatica,M_PL_057,zygomorphic,1
Daucus carota carota,M_PL_058,actinomorphic,22
Sonchus tenerrinus,M_PL_058,actinomorphic,28
Carpobrotus sp1 M_PL_058,M_PL_058,actinomorphic,23
Opuntia stricta,M_PL_058,actinomorphic,17
Cistus monspeliensis,M_PL_058,actinomorphic,21
Cistus salvifolius,M_PL_058,actinomorphic,18
Cistus albidus,M_PL_058,actinomorphic,15
Urospermum picrioides,M_PL_058,actinomorphic,15
Aetheorrina bulbosa,M_PL_058,actinomorphic,11
Galactites tomentosa,M_PL_058,actinomorphic,13
Eryngium campestre,M_PL_058,actinomorphic,9
Convolvulus althaeoides,M_PL_058,actinomorphic,11
Scabiosa stellata,M_PL_058,actinomorphic,13
Sedum sediforme,M_PL_058,actinomorphic,15
Thymelaea hirusta,M_PL_058,actinomorphic,13
Ruta chalepensis,M_PL_058,actinomorphic,9
Helichrysum stoechas,M_PL_058,actinomorphic,4
Alyssum maritimum,M_PL_058,actinomorphic,5
Helianthemum guttatum,M_PL_058,actinomorphic,4
Equium sabulicola,M_PL_058,actinomorphic,2
Euphorbia segatalis,M_PL_058,actinomorphic,3
Allium ampeloprasum,M_PL_058,actinomorphic,1
Brassica fruticulosa,M_PL_058,actinomorphic,1
Dianthus caryophillus,M_PL_058,actinomorphic,1
Hypericum perfolatum,M_PL_058,actinomorphic,1
Linum sp1 M_PL_058,M_PL_058,actinomorphic,1
Lavandula stoechas,M_PL_058,zygomorphic,19
Rosmarinus officinalis,M_PL_058,zygomorphic,12
Psoralea bituminosa,M_PL_058,zygomorphic,8
Dorychnium pentaphylum,M_PL_058,zygomorphic,2
Lathyrus clymenum,M_PL_058,zygomorphic,1
Vicea lutea,M_PL_058,zygomorphic,1
Diplopterys pubipetala,M_PL_059,actinomorphic,9
Byrsonima gardnerana,M_PL_059,actinomorphic,6
Banisteriopsis muricata,M_PL_059,actinomorphic,12
Heteropterys sp1 M_PL_059,M_PL_059,actinomorphic,8
Heteropterys sp2 M_PL_059,M_PL_059,actinomorphic,7
Dicella bracteosa,M_PL_059,actinomorphic,5
Carolus chasei,M_PL_059,actinomorphic,4
Stigmaphyllon paralias,M_PL_059,actinomorphic,2
Banisteriopsis stellaris,M_PL_059,actinomorphic,4
Banisteriopsis schizoptera,M_PL_059,actinomorphic,4
Stigmaphyllon auriculatum,M_PL_059,actinomorphic,4
Stigmaphyllon ciliatum,M_PL_059,actinomorphic,3
Janusia anisandra,M_PL_059,actinomorphic,3
Sideroxylon cinereum,M_PL_060_01,actinomorphic,11
Geniostoma borbonicum,M_PL_060_01,actinomorphic,14
Croton fothergillifolius,M_PL_060_01,actinomorphic,12
Aphloia theiformis,M_PL_060_01,actinomorphic,14
Psiadia terebinthina,M_PL_060_01,actinomorphic,11
Erythroxylum macrocarpum,M_PL_060_01,actinomorphic,9
Toddalia asiatica,M_PL_060_01,actinomorphic,10
Molinaea alternifolia,M_PL_060_01,actinomorphic,5
Claoxylon linostachys,M_PL_060_01,actinomorphic,6
Antirhea borbonica,M_PL_060_01,actinomorphic,2
Roussea simplex,M_PL_060_01,actinomorphic,1
Toddalia asiatica,M_PL_060_02,actinomorphic,15
Aphloia theiformis,M_PL_060_02,actinomorphic,20
Geniostoma borbonicum,M_PL_060_02,actinomorphic,15
Sideroxylon cinereum,M_PL_060_02,actinomorphic,11
Roussea simplex,M_PL_060_02,actinomorphic,10
Psiadia terebinthina,M_PL_060_02,actinomorphic,11
Croton fothergillifolius,M_PL_060_02,actinomorphic,9
Erythroxylum macrocarpum,M_PL_060_02,actinomorphic,6
Claoxylon linostachys,M_PL_060_02,actinomorphic,6
Antirhea borbonica,M_PL_060_02,actinomorphic,1
Dodonaea viscosa,M_PL_060_02,actinomorphic,2
Molinaea alternifolia,M_PL_060_02,actinomorphic,1
Toddalia asiatica,M_PL_060_03,actinomorphic,19
Molinaea alternifolia,M_PL_060_03,actinomorphic,16
Aphloia theiformis,M_PL_060_03,actinomorphic,10
Psiadia terebinthina,M_PL_060_03,actinomorphic,17
Stillingia lineata,M_PL_060_03,actinomorphic,11
Croton fothergillifolius,M_PL_060_03,actinomorphic,17
Roussea simplex,M_PL_060_03,actinomorphic,10
Erythroxylum macrocarpum,M_PL_060_03,actinomorphic,14
Chassalia coriacea,M_PL_060_03,actinomorphic,6
Bertiera zaluzania,M_PL_060_03,actinomorphic,5
Dodonaea viscosa,M_PL_060_03,actinomorphic,1
Antirhea borbonica,M_PL_060_03,actinomorphic,2
Claoxylon linostachys,M_PL_060_03,actinomorphic,2
Sideroxylon cinereum,M_PL_060_04,actinomorphic,12
Molinaea alternifolia,M_PL_060_04,actinomorphic,16
Aphloia theiformis,M_PL_060_04,actinomorphic,14
Croton fothergillifolius,M_PL_060_04,actinomorphic,12
Syzygium venosum,M_PL_060_04,actinomorphic,5
Roussea simplex,M_PL_060_04,actinomorphic,4
Stillingia lineata,M_PL_060_04,actinomorphic,6
Dracaena reflexa,M_PL_060_04,actinomorphic,12
Bertiera zaluzania,M_PL_060_04,actinomorphic,5
Coffea mauritiana,M_PL_060_04,actinomorphic,4
Chassalia coriacea,M_PL_060_04,actinomorphic,6
Claoxylon linostachys,M_PL_060_04,actinomorphic,5
Psiadia terebinthina,M_PL_060_04,actinomorphic,7
Antidesma madagascariense,M_PL_060_04,actinomorphic,6
Antirhea borbonica,M_PL_060_04,actinomorphic,6
Toddalia asiatica,M_PL_060_04,actinomorphic,4
Erythroxylum macrocarpum,M_PL_060_04,actinomorphic,3
Pandanus wiehii,M_PL_060_04,actinomorphic,2
Agauria salicifolia,M_PL_060_04,actinomorphic,2
Flagellaria indica,M_PL_060_04,actinomorphic,2
Polyscias mauritiana,M_PL_060_04,actinomorphic,1
Sideroxylon puberulum,M_PL_060_05,actinomorphic,17
Psiadia terebinthina,M_PL_060_05,actinomorphic,12
Aphloia theiformis,M_PL_060_05,actinomorphic,6
Coffea mauritiana,M_PL_060_05,actinomorphic,9
Polyscias mauritiana,M_PL_060_05,actinomorphic,6
Dracaena reflexa,M_PL_060_05,actinomorphic,3
Claoxylon linostachys,M_PL_060_05,actinomorphic,3
Bertiera zaluzania,M_PL_060_05,actinomorphic,5
Pittosporum senacia,M_PL_060_05,actinomorphic,5
Coffea macrocarpa,M_PL_060_05,actinomorphic,6
Antirhea borbonica,M_PL_060_05,actinomorphic,2
Stillingia lineata,M_PL_060_05,actinomorphic,4
Doratoxylon apetalum,M_PL_060_05,actinomorphic,4
Mimusops erythroxylon,M_PL_060_05,actinomorphic,5
Phyllanthus phillyreifolius,M_PL_060_05,actinomorphic,4
Antidesma madagascariense,M_PL_060_05,actinomorphic,5
Croton fothergillifolius,M_PL_060_05,actinomorphic,5
Grangeria borbonica,M_PL_060_05,actinomorphic,4
Erythroxylum macrocarpum,M_PL_060_05,actinomorphic,6
Chassalia coriacea,M_PL_060_05,actinomorphic,1
Chassalia petrinensis,M_PL_060_05,actinomorphic,4
Erythrospermum monticolum,M_PL_060_05,actinomorphic,4
Flagellaria indica,M_PL_060_05,actinomorphic,3
Monimiastrum globosum,M_PL_060_05,actinomorphic,5
Roussea simplex,M_PL_060_05,actinomorphic,2
Cordemoya integrifolia,M_PL_060_05,actinomorphic,2
Molinaea alternifolia,M_PL_060_05,actinomorphic,3
Euodia chapelieri,M_PL_060_05,actinomorphic,2
Faujasiopsis flexuosa,M_PL_060_05,actinomorphic,2
Ochna mauritiana,M_PL_060_05,actinomorphic,2
Agauria salicifolia,M_PL_060_05,actinomorphic,1
Olea lancea,M_PL_060_05,actinomorphic,1
Pandanus wiehii,M_PL_060_05,actinomorphic,1
Coffea macrocarpa,M_PL_060_06,actinomorphic,7
Sideroxylon puberulum,M_PL_060_06,actinomorphic,15
Phyllanthus phillyreifolius,M_PL_060_06,actinomorphic,2
Badula platiphylla,M_PL_060_06,actinomorphic,4
Coffea mauritiana,M_PL_060_06,actinomorphic,6
Warneckea trinervis,M_PL_060_06,actinomorphic,5
Antirhea borbonica,M_PL_060_06,actinomorphic,1
Grangeria borbonica,M_PL_060_06,actinomorphic,6
Helichrysum proteoides,M_PL_060_06,actinomorphic,7
Mimusops erythroxylon,M_PL_060_06,actinomorphic,4
Aphloia theiformis,M_PL_060_06,actinomorphic,3
Agauria salicifolia,M_PL_060_06,actinomorphic,2
Psiadia terebinthina,M_PL_060_06,actinomorphic,6
Bertiera zaluzania,M_PL_060_06,actinomorphic,3
Gaertnera rotundifolia,M_PL_060_06,actinomorphic,5
Stillingia lineata,M_PL_060_06,actinomorphic,5
Faujasiopsis flexuosa,M_PL_060_06,actinomorphic,3
Olea lancea,M_PL_060_06,actinomorphic,2
Cordemoya integrifolia,M_PL_060_06,actinomorphic,1
Euodia chapelieri,M_PL_060_06,actinomorphic,2
Monimiastrum globosum,M_PL_060_06,actinomorphic,1
Ochna mauritiana,M_PL_060_06,actinomorphic,2
Erythrospermum monticolum,M_PL_060_06,actinomorphic,1
Flagellaria indica,M_PL_060_06,actinomorphic,1
Ocotea laevigata,M_PL_060_06,actinomorphic,1
Polyscias mauritiana,M_PL_060_06,actinomorphic,1
Sideroxylon puberulum,M_PL_060_07,actinomorphic,15
Labourdonnaisia callophylloides,M_PL_060_07,actinomorphic,4
Psiadia terebinthina,M_PL_060_07,actinomorphic,9
Stillingia lineata,M_PL_060_07,actinomorphic,6
Warneckea trinervis,M_PL_060_07,actinomorphic,3
Gaertnera sp1 M_PL_066,M_PL_060_07,actinomorphic,5
Eugenia orbiculata,M_PL_060_07,actinomorphic,4
Phyllanthus phillyreifolius,M_PL_060_07,actinomorphic,5
Euodia chapelieri,M_PL_060_07,actinomorphic,5
Flagellaria indica,M_PL_060_07,actinomorphic,4
Gaertnera petrinensis,M_PL_060_07,actinomorphic,4
Agauria salicifolia,M_PL_060_07,actinomorphic,2
Antidesma madagascariense,M_PL_060_07,actinomorphic,3
Cordemoya integrifolia,M_PL_060_07,actinomorphic,2
Erythrospermum monticolum,M_PL_060_07,actinomorphic,4
Euodia obtusifolia,M_PL_060_07,actinomorphic,4
Helichrysum proteoides,M_PL_060_07,actinomorphic,1
Olea lancea,M_PL_060_07,actinomorphic,4
Smilax anceps,M_PL_060_07,actinomorphic,3
Mimusops erythroxylon,M_PL_060_07,actinomorphic,2
Monimiastrum globosum,M_PL_060_07,actinomorphic,2
Pandanus barklyi,M_PL_060_07,actinomorphic,3
Pyrostria fasciculata,M_PL_060_07,actinomorphic,3
Badula platiphylla,M_PL_060_07,actinomorphic,2
Grangeria borbonica,M_PL_060_07,actinomorphic,2
Ocotea laevigata,M_PL_060_07,actinomorphic,2
Pandanus wiehii,M_PL_060_07,actinomorphic,1
Gaertnera rotundifolia,M_PL_060_07,actinomorphic,1
Bakerella hoyifolia,M_PL_060_07,zygomorphic,3
Pandanus barklyi,M_PL_060_08,actinomorphic,4
Syzygium coriaceum,M_PL_060_08,actinomorphic,7
Pittosporum senacia,M_PL_060_08,actinomorphic,8
Aphloia theiformis,M_PL_060_08,actinomorphic,4
Gaertnera sp1 M_PL_067,M_PL_060_08,actinomorphic,4
Tabernaemontana persicarifolia,M_PL_060_08,actinomorphic,3
Diospyros revaughanii,M_PL_060_08,actinomorphic,4
Psiadia terebinthina,M_PL_060_08,actinomorphic,7
Stillingia lineata,M_PL_060_08,actinomorphic,11
Gaertnera rotundifolia,M_PL_060_08,actinomorphic,1
Euodia obtusifolia,M_PL_060_08,actinomorphic,3
Turraea rigida,M_PL_060_08,actinomorphic,2
Gaertnera petrinensis,M_PL_060_08,actinomorphic,3
Labourdonnaisia callophylloides,M_PL_060_08,actinomorphic,3
Phyllanthus phillyreifolius,M_PL_060_08,actinomorphic,2
Euodia chapelieri,M_PL_060_08,actinomorphic,2
Ochna mauritiana,M_PL_060_08,actinomorphic,2
Cordemoya integrifolia,M_PL_060_08,actinomorphic,1
Smilax anceps,M_PL_060_08,actinomorphic,1
Pittosporum senacia,M_PL_060_09,actinomorphic,9
Aphloia theiformis,M_PL_060_09,actinomorphic,11
Embelia angustifolia,M_PL_060_09,actinomorphic,2
Stillingia lineata,M_PL_060_09,actinomorphic,13
Memecylon ovatifolium,M_PL_060_09,actinomorphic,6
Syzygium coriaceum,M_PL_060_09,actinomorphic,6
Diospyros revaughanii,M_PL_060_09,actinomorphic,3
Gaertnera sp1 M_PL_068,M_PL_060_09,actinomorphic,7
Casearia coriacea,M_PL_060_09,actinomorphic,1
Calophyllum eputamen,M_PL_060_09,actinomorphic,5
Olea lancea,M_PL_060_09,actinomorphic,3
Labourdonnaisia callophylloides,M_PL_060_09,actinomorphic,2
Tabernaemontana persicarifolia,M_PL_060_09,actinomorphic,1
Antidesma madagascariense,M_PL_060_09,actinomorphic,3
Euodia chapelieri,M_PL_060_09,actinomorphic,2
Turraea rigida,M_PL_060_09,actinomorphic,2
Warneckea trinervis,M_PL_060_09,actinomorphic,1
Xylopia lamarckii,M_PL_060_09,actinomorphic,1
Pyrostria fasciculata,M_PL_060_10,actinomorphic,5
Labourdonnaisia callophylloides,M_PL_060_10,actinomorphic,3
Stillingia lineata,M_PL_060_10,actinomorphic,10
Syzygium coriaceum,M_PL_060_10,actinomorphic,9
Gaertnera sp1 M_PL_069,M_PL_060_10,actinomorphic,7
Syzygium petrinese,M_PL_060_10,actinomorphic,1
Diospyros revaughanii,M_PL_060_10,actinomorphic,4
Euodia obtusifolia,M_PL_060_10,actinomorphic,3
Embelia angustifolia,M_PL_060_10,actinomorphic,2
Memecylon ovatifolium,M_PL_060_10,actinomorphic,2
Syzygium commersonii,M_PL_060_10,actinomorphic,2
Tristhema mauritiana,M_PL_060_10,actinomorphic,1
Tabernaemontana persicarifolia,M_PL_060_10,actinomorphic,1
Xyris sp1 M_PL_069,M_PL_060_10,actinomorphic,1
Syzygium coriaceum,M_PL_060_11,actinomorphic,10
Diospyros revaughanii,M_PL_060_11,actinomorphic,3
Syzygium petrinese,M_PL_060_11,actinomorphic,4
Casearia coriacea,M_PL_060_11,actinomorphic,2
Labourdonnaisia callophylloides,M_PL_060_11,actinomorphic,2
Calophyllum eputamen,M_PL_060_11,actinomorphic,4
Gaertnera sp1 M_PL_070,M_PL_060_11,actinomorphic,6
Ocotea laevigata,M_PL_060_11,actinomorphic,3
Stillingia lineata,M_PL_060_11,actinomorphic,3
Syzygium mauritianum,M_PL_060_11,actinomorphic,2
Cordemoya integrifolia,M_PL_060_11,actinomorphic,1
Tristhema mauritiana,M_PL_060_11,actinomorphic,1
Euodia obtusifolia,M_PL_060_11,actinomorphic,1
Syzygium commersonii,M_PL_060_11,actinomorphic,1
Syzygium glomeratum,M_PL_060_12,actinomorphic,8
Stillingia lineata,M_PL_060_12,actinomorphic,8
Badula insularis,M_PL_060_12,actinomorphic,9
Aphloia theiformis,M_PL_060_12,actinomorphic,9
Syzygium petrinese,M_PL_060_12,actinomorphic,4
Diospyros revaughanii,M_PL_060_12,actinomorphic,4
Pleurostylia leucocarpa,M_PL_060_12,actinomorphic,8
Calophyllum eputamen,M_PL_060_12,actinomorphic,5
Pandanus rigidifolius,M_PL_060_12,actinomorphic,3
Turraea rigida,M_PL_060_12,actinomorphic,1
Xyris sp1 M_PL_071,M_PL_060_12,actinomorphic,1
Sideroxylon cinereum,M_PL_060_13,actinomorphic,19
Croton fothergillifolius,M_PL_060_13,actinomorphic,5
Dodonaea viscosa,M_PL_060_13,actinomorphic,11
Trochetia blackburniana,M_PL_060_13,actinomorphic,1
Psiadia terebinthina,M_PL_060_13,actinomorphic,8
Erythroxylum macrocarpum,M_PL_060_13,actinomorphic,3
Claoxylon linostachys,M_PL_060_13,actinomorphic,1
Sideroxylon cinereum,M_PL_060_14,actinomorphic,16
Homalanthus populifolius,M_PL_060_14,actinomorphic,10
Croton fothergillifolius,M_PL_060_14,actinomorphic,15
Toddalia asiatica,M_PL_060_14,actinomorphic,11
Aphloia theiformis,M_PL_060_14,actinomorphic,13
Erythroxylum macrocarpum,M_PL_060_14,actinomorphic,13
Psiadia terebinthina,M_PL_060_14,actinomorphic,11
Antirhea borbonica,M_PL_060_14,actinomorphic,2
Doratoxylon apetalum,M_PL_060_14,actinomorphic,2
Dodonaea viscosa,M_PL_060_14,actinomorphic,5
Trochetia blackburniana,M_PL_060_14,actinomorphic,1
Sideroxylon cinereum,M_PL_060_15,actinomorphic,13
Molinaea alternifolia,M_PL_060_15,actinomorphic,14
Psiadia terebinthina,M_PL_060_15,actinomorphic,19
Toddalia asiatica,M_PL_060_15,actinomorphic,8
Bertiera zaluzania,M_PL_060_15,actinomorphic,6
Croton fothergillifolius,M_PL_060_15,actinomorphic,14
Stillingia lineata,M_PL_060_15,actinomorphic,7
Homalanthus populifolius,M_PL_060_15,actinomorphic,8
Erythroxylum macrocarpum,M_PL_060_15,actinomorphic,11
Dodonaea viscosa,M_PL_060_15,actinomorphic,6
Aphloia theiformis,M_PL_060_15,actinomorphic,9
Antirhea borbonica,M_PL_060_15,actinomorphic,8
Chassalia coriacea,M_PL_060_15,actinomorphic,6
Trochetia blackburniana,M_PL_060_15,actinomorphic,2
Dracaena reflexa,M_PL_060_16,actinomorphic,13
Stillingia lineata,M_PL_060_16,actinomorphic,11
Myonima violacea,M_PL_060_16,actinomorphic,9
Psiadia terebinthina,M_PL_060_16,actinomorphic,7
Bertiera zaluzania,M_PL_060_16,actinomorphic,7
Erythroxylum macrocarpum,M_PL_060_16,actinomorphic,14
Homalanthus populifolius,M_PL_060_16,actinomorphic,8
Croton fothergillifolius,M_PL_060_16,actinomorphic,10
Molinaea alternifolia,M_PL_060_16,actinomorphic,10
Olea lancea,M_PL_060_16,actinomorphic,4
Psidium cattleianum,M_PL_060_16,actinomorphic,5
Faujasiopsis flexuosa,M_PL_060_16,actinomorphic,2
Claoxylon linostachys,M_PL_060_16,actinomorphic,3
Aphloia theiformis,M_PL_060_16,actinomorphic,4
Flagellaria indica,M_PL_060_16,actinomorphic,2
Chassalia coriacea,M_PL_060_16,actinomorphic,3
Antirhea borbonica,M_PL_060_16,actinomorphic,2
Sideroxylon puberulum,M_PL_060_17,actinomorphic,10
Ochna mauritiana,M_PL_060_17,actinomorphic,12
Myonima violacea,M_PL_060_17,actinomorphic,8
Stillingia lineata,M_PL_060_17,actinomorphic,10
Faujasiopsis flexuosa,M_PL_060_17,actinomorphic,8
Bertiera zaluzania,M_PL_060_17,actinomorphic,5
Aphloia theiformis,M_PL_060_17,actinomorphic,8
Croton fothergillifolius,M_PL_060_17,actinomorphic,6
Molinaea alternifolia,M_PL_060_17,actinomorphic,8
Psiadia terebinthina,M_PL_060_17,actinomorphic,7
Erythroxylum macrocarpum,M_PL_060_17,actinomorphic,4
Homalanthus populifolius,M_PL_060_17,actinomorphic,5
Psidium cattleianum,M_PL_060_17,actinomorphic,4
Chassalia coriacea,M_PL_060_17,actinomorphic,2
Antirhea borbonica,M_PL_060_17,actinomorphic,1
Cordemoya integrifolia,M_PL_060_17,actinomorphic,1
Olea lancea,M_PL_060_17,actinomorphic,1
Sideroxylon puberulum,M_PL_060_18,actinomorphic,7
Grangeria borbonica,M_PL_060_18,actinomorphic,8
Badula platiphylla,M_PL_060_18,actinomorphic,5
Helichrysum proteoides,M_PL_060_18,actinomorphic,13
Myonima violacea,M_PL_060_18,actinomorphic,2
Harungana madagascariensis,M_PL_060_18,actinomorphic,3
Stillingia lineata,M_PL_060_18,actinomorphic,2
Ochna mauritiana,M_PL_060_18,actinomorphic,4
Olea lancea,M_PL_060_18,actinomorphic,2
Psiadia terebinthina,M_PL_060_18,actinomorphic,8
Aphloia theiformis,M_PL_060_18,actinomorphic,1
Psidium cattleianum,M_PL_060_18,actinomorphic,3
Coffea macrocarpa,M_PL_060_18,actinomorphic,4
Homalanthus populifolius,M_PL_060_18,actinomorphic,2
Faujasiopsis flexuosa,M_PL_060_18,actinomorphic,3
Gaertnera sp1 M_PL_077,M_PL_060_18,actinomorphic,4
Coffea mauritiana,M_PL_060_18,actinomorphic,1
Gaertnera rotundifolia,M_PL_060_18,actinomorphic,1
Warneckea trinervis,M_PL_060_18,actinomorphic,1
Wikstroemia indica,M_PL_060_18,actinomorphic,1
Sideroxylon puberulum,M_PL_060_19,actinomorphic,2
Psiadia terebinthina,M_PL_060_19,actinomorphic,7
Psidium cattleianum,M_PL_060_19,actinomorphic,2
Helichrysum proteoides,M_PL_060_19,actinomorphic,5
Stillingia lineata,M_PL_060_19,actinomorphic,2
Grangeria borbonica,M_PL_060_19,actinomorphic,4
Antidesma madagascariense,M_PL_060_19,actinomorphic,4
Labourdonnaisia callophylloides,M_PL_060_19,actinomorphic,4
Olea lancea,M_PL_060_19,actinomorphic,2
Euodia obtusifolia,M_PL_060_19,actinomorphic,1
Warneckea trinervis,M_PL_060_19,actinomorphic,1
Homalanthus populifolius,M_PL_060_19,actinomorphic,1
Phyllanthus phillyreifolius,M_PL_060_19,actinomorphic,1
Wikstroemia indica,M_PL_060_19,actinomorphic,1
Badula platiphylla,M_PL_060_19,actinomorphic,1
Eugenia orbiculata,M_PL_060_19,actinomorphic,1
Euodia chapelieri,M_PL_060_19,actinomorphic,1
Gaertnera sp1 M_PL_078,M_PL_060_19,actinomorphic,1
Psiadia terebinthina,M_PL_060_20,actinomorphic,9
Gaertnera sp1 M_PL_079,M_PL_060_20,actinomorphic,5
Stillingia lineata,M_PL_060_20,actinomorphic,6
Syzygium coriaceum,M_PL_060_20,actinomorphic,5
Antidesma madagascariense,M_PL_060_20,actinomorphic,2
Psathura terniflora,M_PL_060_20,actinomorphic,2
Tabernaemontana persicarifolia,M_PL_060_20,actinomorphic,2
Labourdonnaisia callophylloides,M_PL_060_20,actinomorphic,1
Euodia obtusifolia,M_PL_060_20,actinomorphic,1
Tristhema mauritiana,M_PL_060_20,actinomorphic,2
Olea lancea,M_PL_060_20,actinomorphic,1
Psidium cattleianum,M_PL_060_20,actinomorphic,1
Stillingia lineata,M_PL_060_21,actinomorphic,14
Gaertnera sp1 M_PL_080,M_PL_060_21,actinomorphic,8
Aphloia theiformis,M_PL_060_21,actinomorphic,4
Syzygium coriaceum,M_PL_060_21,actinomorphic,4
Euodia chapelieri,M_PL_060_21,actinomorphic,1
Warneckea trinervis,M_PL_060_21,actinomorphic,1
Stillingia lineata,M_PL_060_22,actinomorphic,17
Labourdonnaisia callophylloides,M_PL_060_22,actinomorphic,1
Aphloia theiformis,M_PL_060_22,actinomorphic,8
Gaertnera sp1 M_PL_081,M_PL_060_22,actinomorphic,9
Ochna mauritiana,M_PL_060_22,actinomorphic,8
Croton grangeroides,M_PL_060_22,actinomorphic,3
Syzygium coriaceum,M_PL_060_22,actinomorphic,5
Grangeria borbonica,M_PL_060_22,actinomorphic,6
Phyllanthus phillyreifolius,M_PL_060_22,actinomorphic,3
Croton fothergillifolius,M_PL_060_22,actinomorphic,1
Euodia chapelieri,M_PL_060_22,actinomorphic,1
Cordemoya integrifolia,M_PL_060_22,actinomorphic,1
Smilax anceps,M_PL_060_22,actinomorphic,1
Aphloia theiformis,M_PL_060_23,actinomorphic,14
Stillingia lineata,M_PL_060_23,actinomorphic,10
Syzygium coriaceum,M_PL_060_23,actinomorphic,3
Molinaea macrantha,M_PL_060_23,actinomorphic,1
Casearia coriacea,M_PL_060_23,actinomorphic,4
Gaertnera sp1 M_PL_082,M_PL_060_23,actinomorphic,7
Syzygium petrinese,M_PL_060_23,actinomorphic,4
Croton grangeroides,M_PL_060_23,actinomorphic,3
Labourdonnaisia callophylloides,M_PL_060_23,actinomorphic,2
Phyllanthus phillyreifolius,M_PL_060_23,actinomorphic,5
Cordemoya integrifolia,M_PL_060_23,actinomorphic,1
Erythroxylum macrocarpum,M_PL_060_23,actinomorphic,3
Stillingia lineata,M_PL_060_24,actinomorphic,7
Aphloia theiformis,M_PL_060_24,actinomorphic,6
Croton grangeroides,M_PL_060_24,actinomorphic,6
Phyllanthus phillyreifolius,M_PL_060_24,actinomorphic,3
Psiadia terebinthina,M_PL_060_24,actinomorphic,2
Syzygium petrinese,M_PL_060_24,actinomorphic,6
Badula insularis,M_PL_060_24,actinomorphic,2
Calophyllum eputamen,M_PL_060_24,actinomorphic,2
Diospyros revaughanii,M_PL_060_24,actinomorphic,3
Molinaea macrantha,M_PL_060_24,actinomorphic,1
Rubus alcefolius,M_PL_060_24,actinomorphic,2
Psidium cattleianum,M_PL_060_24,actinomorphic,3
Embelia angustifolia,M_PL_060_24,actinomorphic,2
Tabernaemontana persicarifolia,M_PL_060_24,actinomorphic,1
Nephrosperma vanhoutteanum,M_PL_061_01,actinomorphic,8
Paragenipa wrightii,M_PL_061_01,actinomorphic,4
Memecylon eleagni,M_PL_061_01,actinomorphic,2
Mimusops sechellarum,M_PL_061_01,actinomorphic,2
Soulamea terminaloides,M_PL_061_01,actinomorphic,1
Nephrosperma vanhoutteanum,M_PL_061_02,actinomorphic,14
Medusagyne oppositifolia,M_PL_061_02,actinomorphic,3
Mimusops sechellarum,M_PL_061_02,actinomorphic,6
Erythroxylum sechellarum,M_PL_061_02,actinomorphic,2
Memecylon eleagni,M_PL_061_02,actinomorphic,2
Nephrosperma vanhoutteanum,M_PL_061_03,actinomorphic,8
Memecylon eleagni,M_PL_061_03,actinomorphic,2
Cinnamomum verum,M_PL_061_03,actinomorphic,4
Canthium bibracteatum,M_PL_061_03,actinomorphic,3
Paragenipa wrightii,M_PL_061_03,actinomorphic,4
Erythroxylum sechellarum,M_PL_061_03,actinomorphic,3
Nephrosperma vanhoutteanum,M_PL_061_04,actinomorphic,10
Erythroxylum sechellarum,M_PL_061_04,actinomorphic,4
Paragenipa wrightii,M_PL_061_04,actinomorphic,3
Canthium bibracteatum,M_PL_061_04,actinomorphic,3
Phoenicophorium borsigianum,M_PL_061_04,actinomorphic,3
Memecylon eleagni,M_PL_061_04,actinomorphic,2
Psychotria pervillei,M_PL_061_04,actinomorphic,3
Syzygium wrightii,M_PL_061_04,actinomorphic,1
